name,BHR,ITA,PRT,ESP,MCO,AZE,FRA,AUT,AUT2,GBR,HUN,BEL,NED,ITA2,RUS,SIN,TUR,JPN,USA,MEX,BRA,AUS,SAU,ARE
Red Bull,28,53,83,112,149,174,215,252,286,,,,,,,,,,,,,,,
Mercedes,41,60,101,141,148,148,178,212,242,,,,,,,,,,,,,,,
McLaren,18,41,53,65,65,77,95,105,126,,,,,,,,,,,,,,,
Ferrari,12,34,42,60,78,94,94,108,122,,,,,,,,,,,,,,,
AlphaTauri,2,8,9,10,18,39,45,46,48,,,,,,,,,,,,,,,
Aston Martin,1,5,5,5,19,37,40,44,44,,,,,,,,,,,,,,,
Alpine,0,3,13,15,17,25,29,31,32,,,,,,,,,,,,,,,
Alfa Romeo,0,0,0,0,1,2,2,2,2,,,,,,,,,,,,,,,
